Data Size (bits),Deadline (s),CPU Cycles
1080,9.344737036241007e-05,44550
2920,9.650411342932791e-05,120450
2592,5.6362959110378046e-05,106920
1264,5.163825032286083e-05,52140
976,9.050053008855328e-05,40260
2256,8.364780779571455e-05,93060
864,9.878555431180292e-05,35640
1256,9.714960489154668e-05,51810
1024,7.169825668888304e-05,42240
3024,7.933523496960615e-05,124740
2608,9.847130527035106e-05,107580
1976,5.228418004891895e-05,81510
1120,7.028224323309799e-05,46200
1856,5.069206021563601e-05,76560
2600,9.679984422899824e-05,107250
2520,5.392942005862748e-05,103950
2952,7.06699226580283e-05,121770
2776,6.014575202806847e-05,114510
904,9.978712792078459e-05,37290
808,5.4810005875530055e-05,33330
2240,8.9775092670128e-05,92400
1160,6.147639684204163e-05,47850
2376,7.68683130077042e-05,98010
2088,5.584119008050261e-05,86130
2968,8.492091000719207e-05,122430
3104,6.010359229606951e-05,128040
1408,6.031104295289575e-05,58080
2080,5.4366028239334876e-05,85800
848,5.8817537812602635e-05,34980
2360,9.102688528461365e-05,97350
2336,6.543299628867963e-05,96360
3080,9.682264057730908e-05,127050
1736,8.462207170002321e-05,71610
1472,9.745488367047926e-05,60720
2136,7.339861748283613e-05,88110
2064,7.5160052752048e-05,85140
2720,8.111170249916873e-05,112200
1992,8.702924139002972e-05,82170
1816,7.42488875730464e-05,74910
2808,5.440881450359189e-05,115830
1064,8.40632793952231e-05,43890
1712,7.402346248037948e-05,70620
1232,6.036975971432978e-05,50820
3168,5.3185035260184834e-05,130680
3032,9.979778660158275e-05,125070
2488,7.420788774036195e-05,102630
840,8.071763214771333e-05,34650
2968,9.697018029256746e-05,122430
2104,9.28680615196675e-05,86790
2176,8.00604741185659e-05,89760
2416,6.591748938049942e-05,99660
1312,5.591205172066494e-05,54120
1592,6.754320767929696e-05,65670
2744,8.202367174662035e-05,113190
2560,6.339759302534736e-05,105600
3064,7.672276937714655e-05,126390
1952,8.96804445761663e-05,80520
3136,8.949589344005957e-05,129360
896,7.361740988367459e-05,36960
2600,7.283307573608984e-05,107250
1984,7.264080714413034e-05,81840
1792,6.652020850664113e-05,73920
1840,6.900246202154277e-05,75900
2936,6.175382701691214e-05,121110
2456,6.133254955833215e-05,101310
2000,6.949007121995104e-05,82500
2064,8.48497047729581e-05,85140
1608,5.097812306254532e-05,66330
2824,6.0014647444496295e-05,116490
3008,6.507010820930762e-05,124080
1688,7.337911180171271e-05,69630
2384,5.9585824803698844e-05,98340
944,5.912455396124368e-05,38940
832,8.560393653152777e-05,34320
1200,5.50405207143754e-05,49500
2056,8.981677826381802e-05,84810
1656,9.829440963235964e-05,68310
2032,9.88610576698325e-05,83820
848,8.832717482589987e-05,34980
1968,5.8933890478497404e-05,81180
2016,9.261380851457989e-05,83160
1688,8.184568861754489e-05,69630
2296,8.7388614189464e-05,94710
